dataset,embedding,algorithm,ari,nmi,purity,silhouette,n_clusters,n_noise
pt6,tfidf_svd,kmeans,0.666118149759702,0.735799862102966,0.8126984126984127,0.01702156844134429,6,0
pt6,tfidf_svd,gmm,0.666118149759702,0.735799862102966,0.8126984126984127,0.01702156844134429,6,0
pt6,tfidf_svd,agglomerative,0.6904204685442719,0.7845685339437549,0.8095238095238095,0.0184454228619376,6,0
pt6,tfidf_svd,dbscan,0.00018462716139988617,0.012807132682311827,0.19047619047619047,0.004954822657322937,1,5
pt6,tfidf_svd,spectral,0.8166757048303462,0.8393884762795076,0.9174603174603174,0.01966720610943517,6,0
pt6,tfidf_svd,hdbscan,0.0,0.0,0.18412698412698414,,0,315
pt6,sbert,kmeans,0.6053857212726663,0.7300020255611672,0.7555555555555555,0.11688382923603058,6,0
pt6,sbert,gmm,0.6130419706256003,0.7124406582983749,0.7968253968253968,0.09770604968070984,6,0
pt6,sbert,agglomerative,0.5770469958503195,0.7183987277712375,0.7428571428571429,0.10770352929830551,6,0
pt6,sbert,dbscan,0.0029541292205629926,0.0550864054018095,0.21587301587301588,0.224659264087677,1,11
pt6,sbert,spectral,0.6865634862168252,0.7638186485567731,0.8126984126984127,0.07466455549001694,6,0
pt6,sbert,hdbscan,0.0,0.0,0.18412698412698414,,0,315
pt6,gte,kmeans,0.7986193705724985,0.8153193981027241,0.9079365079365079,0.09872965514659882,6,0
pt6,gte,gmm,0.6607895127900658,0.729002886167128,0.7873015873015873,0.09126467257738113,6,0
pt6,gte,agglomerative,0.6504562615003094,0.6996365346138884,0.8222222222222222,0.08516324311494827,6,0
pt6,gte,dbscan,-0.0009393875414617956,0.020902718380301378,0.18412698412698414,0.02101871557533741,2,4
pt6,gte,spectral,0.5384496238540879,0.6968597064851909,0.7142857142857143,0.09095129370689392,6,0
pt6,gte,hdbscan,0.06812876294284412,0.2607838792520746,0.3746031746031746,-0.0035019360948354006,3,224
pt6,bge,kmeans,0.941041953782688,0.9349687897663981,0.9746031746031746,0.11613957583904266,6,0
pt6,bge,gmm,0.9405838821947732,0.9348658345882588,0.9746031746031746,0.1158413514494896,6,0
pt6,bge,agglomerative,0.7559676939143631,0.7952778916218047,0.8857142857142857,0.10235907882452011,6,0
pt6,bge,dbscan,-6.506272569257704e-06,0.018508814418498724,0.19682539682539682,0.05168640986084938,1,6
pt6,bge,spectral,0.760056730562405,0.8479768552062972,0.8380952380952381,0.1005251482129097,6,0
pt6,bge,hdbscan,0.12146958521546133,0.30905770879613653,0.39365079365079364,0.002417283598333597,3,176
